scene,narration,broll_keyword,on_screen_text,kind
55,"He missed out on everything that money would have earned, and everything those earnings would have earned, for thirty straight years.",cash money counting,,broll
56,Economists have a phrase for that lost future growth: opportunity cost.,investing app phone,,broll
57,Mark's daily luxuries didn't just cost him their price tag.,investing app phone,,broll
58,They cost him the entire fortune that money could have quietly become.,cash money counting,,broll
59,"So let's jump to the finish line, thirty years in, and add it all up, because this is the part that's genuinely satisfying.",investing app phone,,broll
60,"Dan, the boring one, by consistently investing a sensible slice of that same ordinary paycheck and simply leaving it alone, has built a portfolio worth well over a million dollars.",investing app phone,,broll
61,Sit with that number.,investing app phone,,broll
62,"Same salary as Mark, never a dollar more, and he's a millionaire.",investing app phone,,broll
63,He can walk away from work whenever he wants.,investing app phone,,broll
64,"His money now earns more in a single good year than his job ever paid him in that year, which means his dollar-army now out-earns him.",cash money counting,,broll
65,"He has crossed the line where he works because he wants to, not because he has to.",investing app phone,,broll
66,Now look over at Mark.,investing app phone,,broll
67,"Same career, same lifetime earnings, same thirty years of paychecks.",investing app phone,,broll
68,"But Mark is approaching retirement with almost nothing saved, staring down the frightening reality of working a decade longer than he ever planned, because he has no choice.",piggy bank savings,,broll
69,"The cruel twist is that Mark spent thirty years feeling richer than Dan the entire way, right up until the moment it mattered most.",investing app phone,,broll
70,Same paycheck.,investing app phone,,broll
71,Same thirty years.,investing app phone,,broll
72,"One quietly built a machine that now works for him, while the other spent three decades feeding a machine that gave nothing back.",investing app phone,,broll
73,"That contrast, right there, is the entire lesson.",investing app phone,,broll
74,"Now here's why this actually matters for you, watching right now.",business office b-roll,,broll
75,The good news buried in this story is that Dan was not special.,business office b-roll,,broll
76,"He wasn't smarter, he didn't earn more, and he didn't pick magic stocks.",business office b-roll,,broll
77,He simply automated one boring decision and then got out of his own way for a very long time.,business office b-roll,,broll
78,"The two levers that decided everything were within his control the whole time: how much of each paycheck he kept, and how early he started letting it grow.",business office b-roll,,broll
79,You don't need a huge income to become Dan.,business office b-roll,,broll
80,"You need consistency and time, and the single most powerful day to start was years ago.",business office b-roll,,broll
81,The second most powerful day is today.,business office b-roll,,broll
82,"So the real question this story leaves you with is simple: right now, are you building Dan's machine, or are you feeding Mark's treadmill?",business office b-roll,,broll
83,"If this made the choice click for you, subscribe, because next week we're breaking down exactly how much of each paycheck someone like Dan actually sets aside, with real numbers you can follow.",business office b-roll,,broll
84,"And one important note: this video is general education, not financial advice, so always do your own research for your own situation.",business office b-roll,,broll
85,"Thanks for watching, and I'll see you in the next one.",business office b-roll,,broll
